 
****************************************
Report : power
        -cell
        -analysis_effort low
        -verbose
        -sort_mode cell_internal_power
Design : cv32e40p_controller_COREV_CLUSTER
Version: T-2022.03-SP3
Date   : Sun Jun  1 19:52:43 2025
****************************************


Library(s) Used:

    saed32rvt_tt0p78v25c (File: /usr/local/synopsys/pdk/SAED32_EDK/lib/stdcell_rvt/db_ccs/saed32rvt_tt0p78v25c.db)


Operating Conditions: tt0p78v25c   Library: saed32rvt_tt0p78v25c
Wire Load Model Mode: enclosed

Design        Wire Load Model            Library
------------------------------------------------
cv32e40p_controller_COREV_CLUSTER
                       8000              saed32rvt_tt0p78v25c


Global Operating Voltage = 0.78 
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1pW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
C2147                      0.0000 8.427e-03   8.43e-03 (0%)    58360.9609  
C2148                      0.0000 3.338e-03   3.34e-03 (0%)    58360.9609  
C2149                      0.0000 6.572e-03   6.57e-03 (0%)    58360.9609  
C2150                      0.0000 7.300e-03   7.30e-03 (0%)    58360.9609  
C2151                      0.0000 7.709e-03   7.71e-03 (0%)    58360.9609  
C2152                      0.0000 6.579e-03   6.58e-03 (0%)    56926.7109  
C2160                      0.0000 2.033e-03   2.03e-03 (0%)    56926.7109  
C2170                      0.0000 3.025e-03   3.03e-03 (0%)    58360.9609  
C2187                      0.0000 3.424e-03   3.42e-03 (0%)    56926.7109  
C2188                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2190                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2192                      0.0000 3.774e-05   3.77e-05 (0%)    56926.7109  
C2193                      0.0000 4.683e-05   4.68e-05 (0%)    56926.7109  
C2194                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2195                      0.0000 5.854e-06   5.85e-06 (0%)    56926.7109  
C2196                      0.0000 5.723e-03   5.72e-03 (0%)    58360.9609  
C2198                      0.0000 5.469e-03   5.47e-03 (0%)    58360.9609  
C2200                      0.0000    0.0123   1.23e-02 (0%)    58360.9609  
C2202                      0.0000    0.0121   1.21e-02 (0%)    58360.9609  
C2204                      0.0000    0.0121   1.21e-02 (0%)    58360.9609  
C2206                      0.0000    0.0131   1.31e-02 (0%)    56926.7109  
C2207                      0.0000 6.306e-03   6.31e-03 (0%)    58360.9609  
C2208                      0.0000 5.736e-03   5.74e-03 (0%)    56926.7109  
C2209                      0.0000 3.885e-03   3.88e-03 (0%)    58360.9609  
C2210                      0.0000 8.781e-05   8.78e-05 (0%)    56926.7109  
C2211                      0.0000 3.807e-03   3.81e-03 (0%)    58360.9609  
C2212                      0.0000 2.229e-03   2.23e-03 (0%)    56926.7109  
C2213                      0.0000 2.049e-04   2.05e-04 (0%)    56926.7109  
C2214                      0.0000 3.693e-03   3.69e-03 (0%)    58360.9609  
C2215                      0.0000 1.580e-04   1.58e-04 (0%)    56926.7109  
C2216                      0.0000 3.626e-03   3.63e-03 (0%)    58360.9609  
C2217                      0.0000 1.873e-04   1.87e-04 (0%)    56926.7109  
C2218                      0.0000 3.600e-03   3.60e-03 (0%)    58360.9609  
C2219                      0.0000 1.873e-04   1.87e-04 (0%)    56926.7109  
C2220                      0.0000 3.600e-03   3.60e-03 (0%)    58360.9609  
C2221                      0.0000 1.990e-04   1.99e-04 (0%)    56926.7109  
C2222                      0.0000 3.594e-03   3.59e-03 (0%)    58360.9609  
C2223                      0.0000 1.815e-04   1.81e-04 (0%)    56926.7109  
C2224                      0.0000 3.589e-03   3.59e-03 (0%)    58360.9609  
C2225                      0.0000 1.415e-04   1.42e-04 (0%)    56926.7109  
C2226                      0.0000 9.366e-05   9.37e-05 (0%)    56926.7109  
C2227                      0.0000 3.589e-03   3.59e-03 (0%)    58360.9609  
C2229                      0.0000 3.589e-03   3.59e-03 (0%)    58360.9609  
C2231                      0.0000 3.589e-03   3.59e-03 (0%)    58360.9609  
C2233                      0.0000 3.579e-03   3.58e-03 (0%)    58360.9609  
C2235                      0.0000 3.037e-03   3.04e-03 (0%)    58360.9609  
C2240                      0.0000 5.288e-03   5.29e-03 (0%)    58360.9609  
C2241                      0.0000 5.288e-03   5.29e-03 (0%)    58360.9609  
C2242                      0.0000 5.288e-03   5.29e-03 (0%)    58360.9609  
C2243                      0.0000 5.034e-03   5.03e-03 (0%)    58360.9609  
C2244                      0.0000 4.730e-03   4.73e-03 (0%)    56926.7109  
C2245                      0.0000 5.925e-03   5.93e-03 (0%)    58360.9609  
C2246                      0.0000 7.791e-03   7.79e-03 (0%)    56926.7109  
C2247                      0.0000    0.0104   1.04e-02 (0%)    58360.9609  
C2248                      0.0000 3.746e-03   3.75e-03 (0%)    56926.7109  
C2249                      0.0000    0.0245   2.45e-02 (0%)    58360.9609  
C2250                      0.0000 2.520e-03   2.52e-03 (0%)    56926.7109  
C2251                      0.0000    0.0118   1.18e-02 (0%)    58360.9609  
C2252                      0.0000    0.0117   1.17e-02 (0%)    58360.9609  
C2253                      0.0000 2.517e-04   2.52e-04 (0%)    56926.7109  
C2254                      0.0000    0.0119   1.19e-02 (0%)    58360.9609  
C2255                      0.0000 6.327e-03   6.33e-03 (0%)    58360.9609  
C2256                      0.0000 3.941e-03   3.94e-03 (0%)    58360.9609  
C2257                      0.0000 3.724e-03   3.72e-03 (0%)    58360.9609  
C2258                      0.0000 3.724e-03   3.72e-03 (0%)    58360.9609  
C2259                      0.0000 3.724e-03   3.72e-03 (0%)    58360.9609  
C2260                      0.0000 3.848e-03   3.85e-03 (0%)    58360.9609  
C2262                      0.0000 1.334e-03   1.33e-03 (0%)    58360.9609  
C2263                      0.0000 1.293e-03   1.29e-03 (0%)    58360.9609  
C2267                      0.0000 1.137e-03   1.14e-03 (0%)    56926.7109  
C2268                      0.0000 1.042e-03   1.04e-03 (0%)    56926.7109  
C2269                      0.0000    0.0124   1.24e-02 (0%)    58360.9609  
C2270                      0.0000    0.0118   1.18e-02 (0%)    58360.9609  
C2271                      0.0000    0.0117   1.17e-02 (0%)    58360.9609  
C2272                      0.0000    0.0116   1.16e-02 (0%)    58360.9609  
C2273                      0.0000 3.206e-03   3.21e-03 (0%)    58360.9609  
C2274                      0.0000 3.206e-03   3.21e-03 (0%)    58360.9609  
C2275                      0.0000 3.206e-03   3.21e-03 (0%)    58360.9609  
C2276                      0.0000 5.516e-04   5.52e-04 (0%)    58360.9609  
C2277                      0.0000 7.738e-04   7.74e-04 (0%)    58360.9609  
I_1                        0.0000 8.163e-03   8.16e-03 (0%)    52340.1016  
I_2                        0.0000    0.0155   1.55e-02 (0%)    52340.1016  
I_5                        0.0000 9.748e-03   9.75e-03 (0%)    52340.1016  
I_7                        0.0000 8.341e-03   8.34e-03 (0%)    52340.1016  
I_23                       0.0000 1.119e-04   1.12e-04 (0%)    52340.1016  
I_32                       0.0000 1.705e-03   1.71e-03 (0%)    52340.1016  
I_42                       0.0000 7.775e-03   7.78e-03 (0%)    52340.1016  
I_50                       0.0000 7.729e-03   7.73e-03 (0%)    52340.1016  
I_51                       0.0000    0.0223   2.23e-02 (0%)    52340.1016  
I_53                       0.0000    0.0173   1.73e-02 (0%)    52340.1016  
I_55                       0.0000    0.0159   1.59e-02 (0%)    52340.1016  
I_60                       0.0000 6.964e-03   6.96e-03 (0%)    52340.1016  
I_77                       0.0000    0.0314   3.14e-02 (0%)    52340.1016  
I_78                       0.0000 7.729e-03   7.73e-03 (0%)    52340.1016  
I_79                       0.0000    0.0155   1.55e-02 (0%)    52340.1016  
I_82                       0.0000 8.163e-03   8.16e-03 (0%)    52340.1016  
I_84                       0.0000 1.211e-03   1.21e-03 (0%)    52340.1016  
I_89                       0.0000 7.729e-03   7.73e-03 (0%)    52340.1016  
I_96                       0.0000    0.0287   2.87e-02 (0%)    52340.1016  
I_97                       0.0000 4.720e-03   4.72e-03 (0%)    52340.1016  
I_99                       0.0000 7.729e-03   7.73e-03 (0%)    52340.1016  
U3                         0.0000 2.567e-03   2.57e-03 (0%)    52340.1016  
U5                         0.0000 6.606e-03   6.61e-03 (0%)    69029.2109  
U6                         0.0000    0.0111   1.11e-02 (0%)    78585.3438  
U7                         0.0000 5.596e-03   5.60e-03 (0%)    69029.2109  
U8                         0.0000    0.0103   1.03e-02 (0%)    63813.2617  
U9                         0.0000    0.0138   1.38e-02 (0%)    84197.7500  
U10                        0.0000    0.0229   2.29e-02 (0%)    161901.9062
                                                                           
U11                        0.0000 1.495e-04   1.49e-04 (0%)    84197.7500  
U15                        0.0000    0.0112   1.12e-02 (0%)    59356.3086  
U16                        0.0000    0.0118   1.18e-02 (0%)    58360.9609  
U17                        0.0000 3.634e-03   3.63e-03 (0%)    59356.3086  
U18                        0.0000 8.836e-04   8.84e-04 (0%)    58360.9609  
U19                        0.0000 1.109e-03   1.11e-03 (0%)    59356.3086  
U20                        0.0000 8.744e-04   8.74e-04 (0%)    58360.9609  
U21                        0.0000    0.0321   3.21e-02 (0%)    59356.3086  
U22                        0.0000 8.956e-03   8.96e-03 (0%)    58360.9609  
U23                        0.0000 9.449e-03   9.45e-03 (0%)    59356.3086  
U24                        0.0000 9.314e-03   9.31e-03 (0%)    58360.9609  
